959B0A16	Abs
109CA5DB	atoi
DECB9C75	SetCursor
DCA7DA63	PerformDiskCheck
CB8AB2A3	Chr
8C283F7F	GetClientHeight
E06200C4	GetClientWidth
A90F0E05	HasClipboardChanged
12877048	Cos
4694366A	HashName
F3679C34	debugout
DCC0D033	ShowStackTrace
67444F84	DialogQuestionOk
1576CCEC	DialogQuestionOkCancel
5F7FFD3B	DialogQuestionYesNo
DF644F85	dialog_error_ok
B5551FDF	DialogErrorOkCancel
4020C370	DialogErrorRetryCancel
65D3B77C	DialogErrorYesNo
7F01F772	OpenStringInputDialog
4D2D4277	DialogOk
0D141855	DialogOkCancel
E218BA5F	DialogRetryCancel
D0F4B51A	DialogWarningOk
EDFD552C	DialogWarningOkCancel
253982F4	DialogWarningRetryCancel
8DC0D2CD	DialogWarningYesNo
693D9729	DialogYesNo
E2413EF9	ArrayCloneFloat
7FCF3C82	ArrayCloneInt
5BBAE511	ArrayCloneString
A6AC6CCC	ArrayCreateFloat
96B07AEE	ArrayCreateInt
1F57B724	ArrayCreateString
AAB68E6D	ArraySingleFloat
3A49E325	ArraySingleInt
134D5585	ArraySingleString
42D7C922	DragAcceptFiles
87A631A6	
D6333B3C	FileClose
E4E3B40D	FileOpen
63B8CB23	FileWriteLine
2539D212	FileReadInt
E8A6A59F	
6008BEBB	
55232561	FileReadString
D1921ED9	OpenTextFile
C46925CF	ForceFocus
F103C078	PasteIntoFocusedWindow
C47DBE4B	GetClipboardContent
C32E286F	DragDropFilePath
3E11F2C5	GetFrontBuffer
F66CD6EA	GetSystemLocale
6E83677A	get_variable
F9A3B675	GetIntVariable
86294BFE	GetStringVariable
160176BE	get_variable$
4B5AC64B	is_log_no_pic
3D4B9052	GetLogNoVoice
619DE833	is_report_no_pic
067B44A4	GetReprotNoVoice
6E6C641A	is_testplay
6F769889	IntToString
6CFC884A	max
3D053317	min
00D696CC	CountCommaSeparatedParts
8EB8F951	OpenHelpFile
B7E3E81C	
C6282F19	RandomInt
46B18379	RandomFloat
80177286	RegistryReadInt
A2E45C9C	RegistryReadString
9A1ACECA	RegistryWriteInt
EDB64309	RegistryWriteString
4FAC462C	LoadArchive
F4BB403D	UnloadArchive
BC6402C9	SetClipboardContent
C1D2B85A	SetFastModeFlg_AR
2399D761	set_frontbuffer
D2219A75	
CD290AEF	set_variable
4AFC6E20	SetWallpaper
FA34E434	SetWatchList
EE2B6D92	Sin
E90E0A19	OpenSpeedConfigDialog
5C823701	StrCmp
FED7BFE9	GetDateString
45815F6D	StrCmpIgnoreCase
06906970	strleft$
B0C8F550	StrLen
AD74D9AC	StrLower
4F62152A	
8AEF9167	strmid$
25401A1F	strright$
3FE05B39	
69DB4512	
0D389C2F	
266A3C79	strupr$
BDAA8E96	Tan
6584F13E	timer
EE6B328D	timer_progress
978047DB	
DACA10AF	OpenUrl
6938EF0C	
140C298E	
0692314A	
269BDA78	
CD00D280	ExecuteScript
9627DDC3	
0EDEFB0B	0_CallFunction
76EE6C90	do_event
29F1AC40	CallFunctionInThread
078A756E	event_hook
1295BBDA	event_hook_after
A93C9856	DeleteFunction?
718EF651	RunScript
1E24E1B6	
10DB0A43	ExecuteScript
A62AA5EB	is_fast_mode
4662E95D	
3704C919	exit
3EABF498	
3C84073C	
DD2056F6	
42F6FDDF	SkipFrameTime?
892E9B20	mk_read
1204D7E8	
008ACBC0	mk_wait
32530606	
818A4B92	
F3D276F1	
62374297	SetFullscreenMode
FAC4F361	
9EF1DDC3	
86F0F608	
4B306C5C	
BC42CA9A	
7547C477	
C102BCC3	
AB13BE44	
F2F9DAA8	thread_begin
AE497F1A	
4EF903F3	
806261CE	SetClockSpeed
FF75CD29	
CF35F0E3	wait
5131E234	
CC3E0342	
B5A1E3C9	console_cls
5FDCCCEE	
SYS_E42730D
934D927B	
8D8D8817	
06B3C8AC	
82FD765B	
2CB1BC41	
5B87A41D	console_is_on
BA81EF8D	
F1F8A206	
728876A3	
6E080825	
88B4B26C	
3F401BBD	
979D1F16	
A2743878	
6621F84D	
0C6D0129	
307F28BC	
59180BBB	
5C9ED743	
403960F8	console_set
30FA2A29	console_setzerotime
35A89417	fontout
90816C6E	
E186D19A	
57F6310D	fontout_locate
9A661709	
B75C3B5F	
8CFC4573	
05EA6E4D	
E6A97E70	
D4066E31	
4133D7A9	
877445CE	load_font
7D8B2C41	
098399F2	LoadFont
DF9F7749	
ACCF4004	
0542E1B7	
824D124F	
25D92502	
BBF35806	
B0CE081A	
507F22C6	
29098EC0	
09C43040	SetViewport
4AFC5C07	fuchidori_copy
2159EBE0	
F63ED9AE	
70612DB5	get_alfapage
E5E4E2FF	grp_alfa_tabled_copy
D01BE374	grp_boxfill
56BBBA3A	grp_copy
FDDF6C40	grp_extboxfill
30636D6E	grp_extcopy
171AEE22	SetViewportOffset
DA675785	grp_mod_copy
AC796720	grp_modify_copy
61BAE53C	grp_mulboxfill
A361D9F7	grp_mulcopy
89B59D02	GrpMulBoxFill2
4C310B4B	grp_point_get
7E277952	grp_point_set
